dataset_name,data_type,source_url,local_path,sha256,n_seqs,seq_length_mean,generation_params,created_date,fusang_version,valid_seeds,missing_seeds,notes
indel_benchmark_100seeds_rebuilt,simulated_jc69,"N/A (simulated, seeds 100-229 excluding 130-159)",indel_benchmark_MASTER_REBUILT.csv,d4dd2bbab1992a93b24a529bd7dce26484d0488f61bb7e15e021b3dfef4fd1a2,200,500,"{""sub"": 0.05, ""indel"": 0.02, ""model"": ""JC69"", ""n"": 200, ""L"": 500}",2026-06-14,v2.1-rebuilt,100,"[130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159]",Seeds 130-159 lost due to file corruption; need re-run
n200_sub0.05_indel0.02_seed42,simulated_jc69,N/A (simulated),test_indel_n200.fasta,9e366d0cdff2e7b84580737e9e70bef207de6ed4ff8bfe1fac75e1ba61a3bc04,200,502.1,"{""n"": 200, ""L"": 500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 42}",2026-06-14,v2.1,,,
n1000_sub0.05_indel0.02_seed42,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,3f91a18691607986b37b72804a7deba6d4b9031a1ada2607456fa71bd9082063,1000,504.3,"{""n"": 1000, ""L"": 500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 42}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed100,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,b1dfeabed01e2e7fd7a7aaeec3935ee5f43be15081494ef92ab03b208ec52ae1,1000,1516.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 100}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed101,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,741b0f300c998b3b3aa1167f3d5071ddbbb8faecb3ea968305e5d575ee35c083,1000,1503.1,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 101}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed102,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,8477c935e955efe3a0182a04bb4c9a0427d55981e971728ebdb9f9b607f0213c,1000,1499.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 102}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed103,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,457c86611969a6271087b494343375faa07687f3fc5be9c065055e98851a8742,1000,1498.6,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 103}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed104,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,fa71273958bf66396dd885c77baf056cd9e13835847116c9790bd65eed0ae601,1000,1505.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 104}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed105,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,58027400f6abe6138756668578182bb27aa3422615a3b23a2e51117460711a4e,1000,1498.4,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 105}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed106,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,be9304fcf222a830bf2d89b23139acef0580b2df6da1e914dc32ca1f9fd7ecb6,1000,1499.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 106}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed107,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,156efe132550d900312c522e1e2a7381539a00c74fd90fdab8ff826d0f342aaf,1000,1492.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 107}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed108,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,3d28d0ead1e5eba2e5116fa852a9647c6e72b5be3064f1f6de689b321dad0e7a,1000,1498.6,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 108}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed109,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,0777805a7d7bf94719c5c309ecea31b64a098ddbcfed7ad1c236710fa01a6968,1000,1502.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 109}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed110,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,ab62ec72db94ceacdcb10707b5702763f82b14c79f51e4847bfff721baa2ca53,1000,1484.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 110}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed111,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,b935f93a83cbd46f48f6a7cfefe77448e601ac9b95ab654d60116ac1275e1838,1000,1501.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 111}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed112,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,cb5ee4cfb3c4f9b72057cf52e4814d83a7c6f128bf6aa7721e1f80a11cdb26e8,1000,1503.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 112}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed113,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,2fd4563447ddbf187981c6025594a977bf6c9e2701f35ef5720704fead0be192,1000,1509.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 113}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed114,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,c43b51724522c7800b0d788f239a09062ab494d0cd992e5da3d6e1e65872754e,1000,1507.8,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 114}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed115,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,9fa70b8265d37c5db0c4521812e0203585725dbb2662631d6ff3fc6e9373af09,1000,1498.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 115}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed116,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,02f7d97c80e7d2795b83a0a42a6d12d970b095f71501414c6564e7aa8c7fa474,1000,1493.7,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 116}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed117,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,2b5d6bacbd0b11a2d373ad9a8c909b8f2b5b40308b5c7f2a049ed6e6bff4b118,1000,1503.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 117}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed118,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,e6d0ba611d7d1c870932b0a9ab9992c08088b86153d0ce3253526fa7ebca01db,1000,1511.7,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 118}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed119,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,3127c32c83401889c809318ffc43ba99aa330c367c5864e2820ecf1520e846a0,1000,1508.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 119}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed120,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,ab6da3805c88595fa4e7a883cf8a2eb065fddb07bc14ee1316d22d90d097280b,1000,1497.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 120}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed121,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,1e456a643350bc5843d1a00c785511097cddb5ef46ddef09977d1dde0d368900,1000,1490.1,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 121}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed122,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,e9b10188faeebb69fdfa294615f37a2e8424cb8c01773689dc25654d55587490,1000,1497.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 122}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed123,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,70546ad7d8d531623d0d07fd8be488c0dc6b127874e17225fa1d5a39d9acd58d,1000,1496.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 123}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed124,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,7ab5e06fc019a151fb6fb68a91f20be94b222898561c03312ebaa4c2441f2fdf,1000,1511.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 124}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed125,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,0eeae8c55a396a6cb7f3202c92ea19d9365cf2ca923edf7513e3a555bf94d523,1000,1505.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 125}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed126,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,315863de73c19aa2392ccce42c401715b97b66ff235867871b6f2de23c1bffa4,1000,1493.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 126}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed127,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,38cb12c4a730e22b128a5b71a7918519770aad3a4fac5241d56bce66b9baf57d,1000,1485.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 127}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed128,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,8a513166c447da7c953739d12acd4e746be1569af2112c9c6a2e8456529db6b6,1000,1493.2,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 128}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed129,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,309152a290b095bc0c761fca373ca7cbb78601e1058ffbe982b3c6e3db085576,1000,1503.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 129}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed100,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,b1dfeabed01e2e7fd7a7aaeec3935ee5f43be15081494ef92ab03b208ec52ae1,1000,1516.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 100}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed101,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,741b0f300c998b3b3aa1167f3d5071ddbbb8faecb3ea968305e5d575ee35c083,1000,1503.1,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 101}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed102,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,8477c935e955efe3a0182a04bb4c9a0427d55981e971728ebdb9f9b607f0213c,1000,1499.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 102}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed103,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,457c86611969a6271087b494343375faa07687f3fc5be9c065055e98851a8742,1000,1498.6,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 103}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed104,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,fa71273958bf66396dd885c77baf056cd9e13835847116c9790bd65eed0ae601,1000,1505.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 104}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed105,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,58027400f6abe6138756668578182bb27aa3422615a3b23a2e51117460711a4e,1000,1498.4,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 105}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed106,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,be9304fcf222a830bf2d89b23139acef0580b2df6da1e914dc32ca1f9fd7ecb6,1000,1499.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 106}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed107,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,156efe132550d900312c522e1e2a7381539a00c74fd90fdab8ff826d0f342aaf,1000,1492.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 107}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed108,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,3d28d0ead1e5eba2e5116fa852a9647c6e72b5be3064f1f6de689b321dad0e7a,1000,1498.6,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 108}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed109,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,0777805a7d7bf94719c5c309ecea31b64a098ddbcfed7ad1c236710fa01a6968,1000,1502.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 109}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed110,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,ab62ec72db94ceacdcb10707b5702763f82b14c79f51e4847bfff721baa2ca53,1000,1484.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 110}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed111,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,b935f93a83cbd46f48f6a7cfefe77448e601ac9b95ab654d60116ac1275e1838,1000,1501.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 111}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed112,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,cb5ee4cfb3c4f9b72057cf52e4814d83a7c6f128bf6aa7721e1f80a11cdb26e8,1000,1503.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 112}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed113,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,2fd4563447ddbf187981c6025594a977bf6c9e2701f35ef5720704fead0be192,1000,1509.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 113}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed114,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,c43b51724522c7800b0d788f239a09062ab494d0cd992e5da3d6e1e65872754e,1000,1507.8,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 114}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed115,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,9fa70b8265d37c5db0c4521812e0203585725dbb2662631d6ff3fc6e9373af09,1000,1498.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 115}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed116,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,02f7d97c80e7d2795b83a0a42a6d12d970b095f71501414c6564e7aa8c7fa474,1000,1493.7,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 116}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed117,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,2b5d6bacbd0b11a2d373ad9a8c909b8f2b5b40308b5c7f2a049ed6e6bff4b118,1000,1503.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 117}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed118,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,e6d0ba611d7d1c870932b0a9ab9992c08088b86153d0ce3253526fa7ebca01db,1000,1511.7,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 118}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed119,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,3127c32c83401889c809318ffc43ba99aa330c367c5864e2820ecf1520e846a0,1000,1508.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 119}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed120,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,ab6da3805c88595fa4e7a883cf8a2eb065fddb07bc14ee1316d22d90d097280b,1000,1497.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 120}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed121,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,1e456a643350bc5843d1a00c785511097cddb5ef46ddef09977d1dde0d368900,1000,1490.1,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 121}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed122,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,e9b10188faeebb69fdfa294615f37a2e8424cb8c01773689dc25654d55587490,1000,1497.0,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 122}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed123,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,70546ad7d8d531623d0d07fd8be488c0dc6b127874e17225fa1d5a39d9acd58d,1000,1496.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 123}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed124,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,7ab5e06fc019a151fb6fb68a91f20be94b222898561c03312ebaa4c2441f2fdf,1000,1511.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 124}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed125,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,0eeae8c55a396a6cb7f3202c92ea19d9365cf2ca923edf7513e3a555bf94d523,1000,1505.3,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 125}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed126,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,315863de73c19aa2392ccce42c401715b97b66ff235867871b6f2de23c1bffa4,1000,1493.5,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 126}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed127,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,38cb12c4a730e22b128a5b71a7918519770aad3a4fac5241d56bce66b9baf57d,1000,1485.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 127}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed128,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,8a513166c447da7c953739d12acd4e746be1569af2112c9c6a2e8456529db6b6,1000,1493.2,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 128}",2026-06-15,v2.1,,,
n1000_sub0.05_indel0.02_seed129,simulated_jc69,N/A (simulated),test_indel_n1000.fasta,309152a290b095bc0c761fca373ca7cbb78601e1058ffbe982b3c6e3db085576,1000,1503.9,"{""n"": 1000, ""L"": 1500, ""sub_rate"": 0.05, ""indel_rate"": 0.02, ""model"": ""JC69"", ""seed"": 129}",2026-06-15,v2.1,,,
